tool		SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jpf-regression/ExSymExe4_false.yml	false	false	4.002925	1.9730083270005707	174.764032
jpf-regression/ExSymExe4_true.yml	true	true	3.375457	1.7292902859990136	119.853056
jpf-regression/ExSymExe5_false.yml	false	false	3.845821	1.89681377099987	174.301184
jpf-regression/ExSymExe5_true.yml	true	true	3.442949	1.740415808000762	115.105792
jpf-regression/ExSymExe6_false.yml	false	false	3.715664	1.9027489769996464	173.809664
jpf-regression/ExSymExe6_true.yml	true	true	3.416714	1.7343243939994863	116.707328
jpf-regression/ExSymExe7_false.yml	false	false	3.864161	1.932289196000056	175.616000
jpf-regression/ExSymExe7_true.yml	true	true	3.859272	1.9520563860005495	174.682112
jpf-regression/ExSymExe8_false.yml	false	false	3.90416	1.9479028880014084	175.190016
jpf-regression/ExSymExe8_true.yml	true	true	3.30924	1.7227730009999505	115.421184
jpf-regression/ExSymExe9_false.yml	false	false	3.418475	1.7001463100004912	117.161984
jpf-regression/ExSymExe9_true.yml	true	true	3.354623	1.7086008690002927	116.539392
jpf-regression/ExSymExeArrays_false.yml	false	false	3.499763	1.7420098490001692	115.470336
jpf-regression/ExSymExeArrays_true.yml	true	true	3.334915	1.7138882460003515	115.154944
jpf-regression/ExSymExeBool_false.yml	false	false	3.66734	1.8343183629986015	116.760576
jpf-regression/ExSymExeBool_true.yml	true	true	3.496676	1.80221488800089	115.384320
jpf-regression/ExSymExeComplexMath_false.yml	false	false	3.608775	1.8511741629990865	115.478528
jpf-regression/ExSymExeComplexMath_true.yml	true	true	2.806312	1.4602180530000624	115.810304
jpf-regression/ExSymExeD2I_false.yml	false	false	2.146035	1.1116570260001026	116.764672
jpf-regression/ExSymExeD2I_true.yml	true	true	2.61557	1.3008000299996638	169.095168
jpf-regression/ExSymExeD2L_false.yml	false	false	2.580488	1.2905719280006451	174.383104
jpf-regression/ExSymExeD2L_true.yml	true	true	2.518906	1.2663860800003022	169.332736
jpf-regression/ExSymExeF2I_false.yml	false	false	2.028425	1.0523556299995107	116.158464
jpf-regression/ExSymExeF2I_true.yml	true	true	2.337628	1.2011590250003792	169.213952
jpf-regression/ExSymExeF2L_false.yml	false	true	2.452986	1.2500965379986155	168.509440
jpf-regression/ExSymExeF2L_true.yml	true	true	2.927556	1.4413712269997632	172.457984
jpf-regression/ExSymExeFNEG_false.yml	false	true	2.522742	1.271024364999903	168.972288
jpf-regression/ExSymExeFNEG_true.yml	true	true	2.226231	1.1610599710002134	171.417600
jpf-regression/ExSymExeGetStatic_false.yml	false	false	2.202472	1.07697734499925	116.506624
jpf-regression/ExSymExeGetStatic_true.yml	true	true	2.987352	1.4446841700009827	117.080064
jpf-regression/ExSymExeI2D_false.yml	false	false	4.34423	2.1292525449989625	176.029696
jpf-regression/ExSymExeI2D_true.yml	true	unknown	4.059134	2.008546267999918	171.040768
jpf-regression/ExSymExeI2F_false.yml	false	false	3.539578	1.8164827969994803	116.338688
jpf-regression/ExSymExeI2F_true.yml	true	true	3.845373	1.9876957860014954	173.613056
jpf-regression/ExSymExeLCMP_false.yml	false	false	2.994997	1.5315622179987258	173.420544
jpf-regression/ExSymExeLCMP_true.yml	true	true	3.138257	1.5057641299990792	173.686784
jpf-regression/ExSymExeLongBytecodes_false.yml	false	false	4.202789	2.041878624999299	174.018560
jpf-regression/ExSymExeLongBytecodes_true.yml	true	true	3.878015	1.8729931699999725	175.706112
jpf-regression/ExSymExeResearch_false.yml	false	false	4.11061	1.995739529000275	174.665728
jpf-regression/ExSymExeResearch_true.yml	true	true	4.335204	2.0767019069990056	174.878720
jpf-regression/ExSymExeSimple_false.yml	false	false	4.039091	2.0352169629986747	172.437504
jpf-regression/ExSymExeSimple_true.yml	true	true	4.400835	2.128042151000045	174.755840
jpf-regression/ExSymExeSuzette_false.yml	false	false	3.297243	1.711214237000604	174.346240
jpf-regression/ExSymExeSuzette_true.yml	true	true	3.338752	1.6326444240003184	174.514176
jpf-regression/ExSymExeSwitch_false.yml	false	false	2.711268	1.4010660040003131	173.891584
jpf-regression/ExSymExeSwitch_true.yml	true	true	2.377879	1.154942495000796	173.453312
jpf-regression/ExSymExeTestAssignments_false.yml	false	false	2.54229	1.3061477619994548	169.132032
jpf-regression/ExSymExeTestAssignments_true.yml	true	true	3.114168	1.7576716180010408	173.248512
jpf-regression/ExSymExeTestClassFields_false.yml	false	false	4.813006	2.9675241530003404	172.187648
jpf-regression/ExSymExeTestClassFields_true.yml	true	true	3.966427	2.674147902000186	172.023808
jpf-regression/ExSymExe_false.yml	false	false	2.681227	1.3606171480005287	116.244480
